"job_application_id","has_embedding","km_cluster","hc_cluster","hdb_cluster"
"1bb3db9c-5454-4b82-b652-2cdf03fd8f18",TRUE,8,8,2
"c6edbdb1-7b65-4cad-be4e-b9d3c7e11c01",TRUE,5,9,2
"3c7871d0-528c-4861-a4fa-4378af2ec752",TRUE,8,8,2
"f8e01ade-379b-4275-96a3-60750b935057",TRUE,7,3,2
"0f85b340-11db-4f3b-b909-f8cd52883f9d",TRUE,6,9,2
"0d356baa-ee73-4de4-bb54-9976785b30fc",TRUE,4,1,2
"c1b14d89-2a08-4ae5-b26e-cd9b5e989b5c",TRUE,4,1,2
"961ecd94-c150-4a5e-a0e7-eed8208a3623",TRUE,2,10,1
"207d7bb1-ed49-45bd-a23a-bfe1cb09a1b8",TRUE,2,10,1
"a65e3518-87c7-4db4-8e1a-22a2af2c2c07",TRUE,2,10,1
"16dbb549-92ef-47ed-b976-0db496849b24",TRUE,2,10,1
"4db39196-c82e-40f9-98a4-4f7c67ef8edc",TRUE,6,9,2
"b163cc9e-e117-4f35-bf21-9fc777acb176",TRUE,2,10,1
"cc6da5ca-dd05-4cc0-8423-bfc860bb20e2",TRUE,2,10,1
"100c3039-ba05-40f2-b7d6-790996aabadb",TRUE,2,10,1
"e4c06b48-8bcd-439f-8c19-02dfab0a289e",TRUE,2,10,1
"76058afa-f001-4774-8a30-6cb0ff45b24b",TRUE,2,10,1
"4a24be04-85bb-4506-9d1a-f2ebf1c65314",TRUE,2,10,1
"c25dfc41-a831-4be4-bb1e-00a15df14344",TRUE,4,7,2
"92a41c29-327f-4b43-bea4-a8d913837080",TRUE,7,6,2
"e907556c-cc04-4d8c-927f-8384d807e1ac",TRUE,8,2,2
"0344b9b8-fcf7-4dc1-b2f9-a033e79f67a0",TRUE,5,9,2
"da798088-e32a-46f1-9877-1194a183f03b",TRUE,8,8,2
"a463c0fe-ae21-4a6e-8e8d-c18e42306b45",TRUE,5,3,2
"48ded2b5-4d3a-4087-aa95-bf0801fd6321",TRUE,5,9,2
"e31041a2-a31c-4805-b6eb-96e129f077f5",TRUE,6,9,2
"a7be9bb1-b9a5-48ef-bd91-2f515128cc8a",TRUE,5,9,2
"00edfbcb-0e58-4613-a9fa-6dc744bfdd5a",TRUE,5,9,2
"c466c259-98d3-40e9-970f-87458f501b4b",TRUE,6,6,2
"110607b6-b425-4b1b-933c-07f581415100",TRUE,8,8,2
"173f71b4-f40a-446e-b37c-7c53b4f2ec5e",TRUE,1,7,2
"fb1b170a-0ed9-4654-8a5d-88e61f15eea2",TRUE,4,7,2
"010d7d85-e06a-4927-883f-9aa8730132fd",TRUE,8,8,2
"0f76ef5b-8471-4a41-9f92-fffd748fd29a",TRUE,5,9,2
"15f7bf2a-f465-4308-9d0d-1d321bcdd9da",TRUE,5,4,2
"76831f9d-170f-40d8-af65-53a4bf79c213",TRUE,8,8,2
"1de7113f-8c8d-410c-9858-ec264a9dd18a",TRUE,4,7,2
"7ef0d38a-dcf5-4bba-9252-844e8f9379cc",TRUE,1,2,2
"24e2189f-f5cf-4100-a53b-1a2bf5d3a78c",TRUE,5,9,2
"27ae90d6-17ae-4c74-b26a-83d8cfc777da",TRUE,8,8,2
"233d8699-c9f1-4bd0-8ae1-1e8b1cb41c80",TRUE,4,2,2
"446fafcb-afb7-44a4-a1b2-ed7f5ae102bd",TRUE,1,2,2
"479f6817-2cc2-427d-ad95-625245d2cf44",TRUE,6,9,2
"b81fe188-8927-4a60-b1a6-8cd813c085c2",TRUE,5,2,2
"8c619a0a-7441-4975-8e0a-89eabd9298ad",TRUE,8,8,2
"11b21561-e206-4987-98ad-402154bef9a1",TRUE,1,6,2
"2f9db0f3-15c7-45e5-8974-916d12462b27",TRUE,1,2,2
"2835064f-af40-4cf3-bc65-58285cb7e8f6",TRUE,5,3,2
"af8c0fba-5d92-423b-88af-180125036540",TRUE,4,2,2
"300304df-f735-4c87-bc87-9b8c1a2fc163",TRUE,5,3,2
"2cf0d340-8d46-45d0-9d8a-2a9e091e4711",TRUE,4,7,2
"0e012b8e-de35-4662-8194-991621330671",TRUE,5,9,2
"fb723578-2787-49ab-862c-1a1069597b39",TRUE,5,3,2
"c1d491ae-dde8-4fa5-87a2-07715028d32d",TRUE,5,3,2
"58e4ffda-bfac-478e-b724-4d27964d5028",TRUE,5,1,2
"6244764c-23c0-44ad-bf2a-ec9516c2a3de",TRUE,5,1,2
"10df1228-393e-4996-8146-bf49b1e586c3",TRUE,8,8,2
"f5771831-b93f-45e5-9b39-921620caee3e",TRUE,3,1,2
"783457f3-ee45-4d3e-a917-a30e492c4233",TRUE,1,2,2
"800cb704-8b49-4d88-bec1-7569a271545a",TRUE,5,9,2
"17479cc0-037c-4585-be98-57cc102f9c18",TRUE,8,8,2
"a96f20f5-b3df-4671-9c8c-6bae89b5b71c",TRUE,5,9,2
"5e9d5642-bcc9-42eb-bd4c-44d821cfca81",TRUE,5,9,2
"e7eb2178-1878-4385-8c9d-470e39505a59",TRUE,4,1,2
"79e0ebd5-4f84-49c6-af4f-d3e3fea3bce2",TRUE,8,8,2
"df6732bc-c89d-4834-80a0-6a035b8480be",TRUE,1,2,2
"d486b3f1-713a-4b8b-96a3-8c173f44026c",TRUE,5,5,2
"47791174-81c7-4ea8-93d0-debef0ada3ac",TRUE,3,1,2
"9700820b-52c8-4e97-81ce-10f5db3da47e",TRUE,4,3,2
"4b5a2202-f9cd-4e01-9209-be3530d044fd",TRUE,5,1,2
"77e32991-2d58-4811-99b0-073aadbeb89e",TRUE,1,2,2
"ea88b4ef-fdd6-4dbf-b5aa-a650ab28d7cf",TRUE,1,3,2
"49287b78-97d3-4b2b-9cc0-49dbd5621f69",TRUE,8,8,2
"3f888ea3-4de7-4a9b-bfac-eb9441c5dd0f",TRUE,1,2,2
"58ca3618-60c1-46ec-9ab6-b9eb43f9129b",TRUE,5,9,2
"cd0f281f-bdf4-4396-b3f1-7021519c22f1",TRUE,8,8,2
"9cd24ff4-7e69-4138-86e5-55cfa867123a",TRUE,8,8,2
"b7190c5b-e66b-440c-be7b-ca86d0fc3152",TRUE,4,5,2
"69b7a88c-3ab6-4525-b09f-c9f5f38e421f",TRUE,4,2,2
"3e742522-dea8-4ff7-9a00-14a7fada06f4",TRUE,1,8,2
"862508ec-8955-4a3b-8ebb-4d5d9aefb3ef",TRUE,8,1,2
